strain	date	predicted_date	variant
sequence_afdj	2021.88767123288	2021.89315068493	Omicron
sequence_afey	2021.94794520548	2021.95342465753	Delta
sequence_afhe	2021.01095890411	2021.01369863014	Alpha
sequence_afiy	2021.9095890411	2021.91232876712	Alpha
sequence_afkv	2021.19726027397	2021.20273972603	Omicron
sequence_aflb	2021.04109589041	2021.04657534247	Delta
sequence_aflw	2021.13424657534	2021.1397260274	Omicron
sequence_afmk	2021.98082191781	2021.98630136986	Alpha
sequence_afol	2021.8904109589	2021.89315068493	Delta
sequence_afpo	2021.37260273973	2021.37534246575	Omicron
sequence_afrg	2021.8301369863	2021.83287671233	Omicron
sequence_afrj	2021.90136986301	2021.90684931507	Alpha
sequence_afsq	2021.93424657534	2021.93698630137	Omicron
sequence_afts	2021.4	2021.40273972603	Delta
sequence_afuc	2021.89589041096	2021.90136986301	Omicron
sequence_afyh	2021.75890410959	2021.76164383562	Delta
sequence_agbk	2021.60547945205	2021.61095890411	Delta
sequence_agby	2021.5397260274	2021.54246575342	Delta
sequence_agce	2021.91506849315	2021.91780821918	Alpha
sequence_agcp	2021.9698630137	2021.97534246575	Delta
sequence_ager	2021.11232876712	2021.11780821918	Omicron
sequence_agfw	2021.87123287671	2021.87671232877	Alpha
sequence_aghi	2021.6	2021.60273972603	Alpha
sequence_aghj	2021.33150684932	2021.33698630137	Alpha
sequence_agjt	2021.5095890411	2021.51232876712	Alpha
sequence_agjy	2021.56438356164	2021.56712328767	Omicron
sequence_agkf	2021.85479452055	2021.8602739726	Delta
sequence_agkh	2021.82191780822	2021.82465753425	Alpha
sequence_agkl	2021.88493150685	2021.8904109589	Alpha
sequence_aglf	2021.00273972603	2021.00821917808	Omicron
sequence_agnf	2021.88219178082	2021.88767123288	Omicron
sequence_agop	2021.64109589041	2021.64657534247	Delta
sequence_agpn	2021.84109589041	2021.84657534247	Alpha
sequence_agqv	2021.59726027397	2021.6	Alpha
sequence_agsw	2021.81917808219	2021.82191780822	Omicron
sequence_agtp	2021.27945205479	2021.28493150685	Delta
sequence_agtu	2021.96438356164	2021.96712328767	Delta
sequence_agtz	2021.00821917808	2021.01369863014	Omicron
sequence_agud	2021.53424657534	2021.5397260274	Omicron
sequence_agvx	2021.18082191781	2021.18630136986	Alpha
sequence_agyf	2021.96164383562	2021.96438356164	Omicron
sequence_agyj	2021.84931506849	2021.85479452055	Delta
sequence_agzy	2021.7397260274	2021.74520547945	Alpha
sequence_ahdk	2021.68219178082	2021.68493150685	Alpha
sequence_ahdo	2021.12054794521	2021.12602739726	Alpha
sequence_ahed	2021.53698630137	2021.54246575342	Delta
sequence_aher	2021.98630136986	2021.98904109589	Alpha
sequence_ahfi	2021.89589041096	2021.90136986301	Alpha
sequence_ahfk	2021.82191780822	2021.82465753425	Alpha
sequence_ahfw	2021.77534246575	2021.78082191781	Alpha
sequence_ahgo	2021.91232876712	2021.91506849315	Omicron
sequence_ahjr	2021.4	2021.40273972603	Delta
sequence_ahmk	2021.63287671233	2021.63835616438	Delta
sequence_ahnd	2021.30136986301	2021.30684931507	Alpha
sequence_ahnq	2021.91506849315	2021.91780821918	Omicron
sequence_ahqb	2021.66575342466	2021.67123287671	Omicron
sequence_ahrb	2021.35890410959	2021.36164383562	Delta
sequence_ahte	2021.49589041096	2021.49863013699	Delta
sequence_ahun	2021.30684931507	2021.3095890411	Omicron
sequence_ahwg	2021.71232876712	2021.71780821918	Alpha
sequence_ahyv	2021.94246575342	2021.94520547945	Alpha
sequence_ahzg	2021.64109589041	2021.64657534247	Alpha
sequence_aidg	2021.87123287671	2021.87397260274	Omicron
sequence_aien	2021.26301369863	2021.26849315068	Alpha
sequence_aiex	2021.54794520548	2021.55068493151	Delta
sequence_aijm	2021.92328767123	2021.92602739726	Delta
sequence_aijo	2021.82191780822	2021.82465753425	Omicron
sequence_aijr	2021.3698630137	2021.37260273973	Alpha
sequence_aikz	2021.86301369863	2021.86849315069	Alpha
sequence_aioq	2021.89315068493	2021.89863013699	Alpha
sequence_aiqn	2021.15890410959	2021.16164383562	Delta
sequence_aisn	2021.02191780822	2021.02739726027	Delta
sequence_aisv	2021.8904109589	2021.89589041096	Delta
sequence_aiuk	2021.29315068493	2021.29863013699	Alpha
sequence_aivg	2021.32328767123	2021.32876712329	Omicron
sequence_aivm	2021.8602739726	2021.86301369863	Omicron
sequence_aixb	2021.83561643836	2021.84109589041	Alpha
sequence_aiyg	2021.66301369863	2021.66849315068	Omicron
sequence_aiyz	2021.8602739726	2021.86575342466	Alpha
sequence_ajbu	2021.41095890411	2021.41643835616	Alpha
sequence_ajdi	2021.54246575342	2021.54794520548	Delta
sequence_ajel	2021.6602739726	2021.66301369863	Alpha
sequence_ajex	2021.37260273973	2021.37534246575	Delta
sequence_ajfc	2021.65205479452	2021.65479452055	Delta
sequence_ajfd	2021.31780821918	2021.32328767123	Omicron
sequence_ajgx	2021.97534246575	2021.98082191781	Omicron
sequence_ajio	2021.37808219178	2021.38356164384	Alpha
sequence_ajip	2021.22465753425	2021.2301369863	Alpha
sequence_ajiw	2021.92602739726	2021.92876712329	Omicron
sequence_ajkd	2021.94794520548	2021.95068493151	Omicron
sequence_ajlh	2021.91506849315	2021.91780821918	Delta
sequence_ajme	2021.09863013699	2021.10410958904	Alpha
sequence_ajnc	2021.94520547945	2021.94794520548	Alpha
sequence_ajnr	2021.8	2021.80273972603	Alpha
sequence_ajru	2021.91232876712	2021.91506849315	Alpha
sequence_ajsv	2021.05205479452	2021.05479452055	Alpha
sequence_ajuv	2021.86849315069	2021.87397260274	Delta
sequence_ajvo	2021.96712328767	2021.97260273973	Delta
sequence_ajwv	2021.79452054795	2021.79726027397	Omicron
sequence_ajxd	2021.06301369863	2021.06849315068	Alpha
sequence_akde	2021.92876712329	2021.93424657534	Delta
sequence_akdr	2021.54520547945	2021.54794520548	Omicron
sequence_akeb	2021.95890410959	2021.96438356164	Omicron
sequence_aked	2021.34520547945	2021.34794520548	Alpha
sequence_akeh	2021.59178082192	2021.59726027397	Alpha
sequence_akgs	2021.37808219178	2021.38356164384	Omicron
sequence_akgw	2021.85753424658	2021.8602739726	Omicron
sequence_akjp	2021.4602739726	2021.46575342466	Omicron
sequence_akjx	2021.91232876712	2021.91780821918	Alpha
sequence_aklh	2021.85479452055	2021.85753424658	Omicron
sequence_aklr	2021.38904109589	2021.39178082192	Omicron
sequence_aklt	2021.95342465753	2021.95890410959	Alpha
sequence_akmd	2021.96164383562	2021.96712328767	Alpha
sequence_akme	2021.36712328767	2021.3698630137	Omicron
sequence_akol	2021.1095890411	2021.11506849315	Alpha
sequence_akpj	2021.55342465753	2021.55616438356	Alpha
sequence_akqg	2021.52328767123	2021.52876712329	Delta
sequence_akqp	2021.91780821918	2021.92328767123	Delta
sequence_akqz	2021.94246575342	2021.94794520548	Delta
sequence_aksq	2021.93150684932	2021.93698630137	Omicron
sequence_aksr	2021.05479452055	2021.0602739726	Delta
sequence_akwi	2021.91506849315	2021.92054794521	Alpha
sequence_akwt	2021.92876712329	2021.93424657534	Alpha
sequence_akzf	2021.81095890411	2021.81643835616	Alpha
sequence_alcz	2021.97534246575	2021.97808219178	Alpha
sequence_aldi	2021.82191780822	2021.82465753425	Omicron
sequence_aldq	2021.85205479452	2021.85753424658	Omicron
sequence_alfe	2021.88493150685	2021.88767123288	Omicron
sequence_alfn	2021.37808219178	2021.38082191781	Omicron
sequence_alhd	2021.38082191781	2021.38356164384	Omicron
sequence_alir	2021.53150684932	2021.53698630137	Alpha
sequence_aliw	2021.93698630137	2021.94246575342	Alpha
sequence_aloe	2021.19726027397	2021.20273972603	Alpha
sequence_alof	2021.08767123288	2021.0904109589	Omicron
sequence_alqn	2021.69863013699	2021.70410958904	Delta
sequence_alqo	2021	2021.00273972603	Alpha
sequence_alqp	2021.35616438356	2021.35890410959	Alpha
sequence_alse	2021.87123287671	2021.87671232877	Delta
sequence_alsg	2021.85205479452	2021.85479452055	Alpha
sequence_altu	2021.64383561644	2021.64931506849	Omicron
sequence_altw	2021.84931506849	2021.85205479452	Omicron
sequence_aluh	2021.64931506849	2021.65205479452	Delta
sequence_aluq	2021.85753424658	2021.8602739726	Alpha
sequence_aluw	2021.58356164384	2021.58630136986	Alpha
sequence_alxq	2021.5698630137	2021.57534246575	Alpha
sequence_alye	2021.87397260274	2021.87945205479	Delta
sequence_amcf	2021.92054794521	2021.92602739726	Delta
sequence_amcl	2021.82739726027	2021.8301369863	Alpha
sequence_amdh	2021.92602739726	2021.92876712329	Alpha
sequence_ameg	2021.5698630137	2021.57260273973	Omicron
sequence_ameh	2021.35616438356	2021.35890410959	Alpha
sequence_amgo	2021.26849315068	2021.27397260274	Omicron
sequence_amgs	2021.26849315068	2021.27397260274	Delta
sequence_amit	2021.92602739726	2021.92876712329	Alpha
sequence_amjx	2021.34794520548	2021.35342465753	Alpha
sequence_amlx	2021.52602739726	2021.52876712329	Omicron
sequence_ampc	2021.73698630137	2021.74246575342	Omicron
sequence_ampl	2021.91780821918	2021.92054794521	Omicron
sequence_ampr	2021.12328767123	2021.12602739726	Alpha
sequence_amqk	2021.47671232877	2021.47945205479	Omicron
sequence_amqu	2021.93150684932	2021.93698630137	Omicron
sequence_amso	2021.9397260274	2021.94246575342	Omicron
sequence_amtz	2021.38630136986	2021.38904109589	Omicron
sequence_amvt	2021.90684931507	2021.9095890411	Delta
sequence_amxe	2021.94246575342	2021.94520547945	Delta
sequence_amxq	2021.02191780822	2021.02739726027	Omicron
sequence_amyi	2021.12328767123	2021.12876712329	Alpha
sequence_amys	2021.92328767123	2021.92876712329	Delta
sequence_amzc	2021.81917808219	2021.82465753425	Delta
sequence_amzt	2021.49589041096	2021.49863013699	Alpha
sequence_amzv	2021.33150684932	2021.33424657534	Delta
sequence_ancr	2021.78630136986	2021.79178082192	Alpha
sequence_anhk	2021.7397260274	2021.74520547945	Delta
sequence_anht	2021.66575342466	2021.66849315068	Omicron
sequence_aniq	2021.46301369863	2021.46575342466	Alpha
sequence_anjb	2021.79178082192	2021.79452054795	Omicron
sequence_anlf	2021.64657534247	2021.64931506849	Alpha
sequence_anow	2021.86301369863	2021.86575342466	Omicron
sequence_anpw	2021.91780821918	2021.92054794521	Alpha
sequence_anqs	2021.67671232877	2021.68219178082	Alpha
sequence_anqz	2021.61643835616	2021.61917808219	Omicron
sequence_anrx	2021.64931506849	2021.65479452055	Omicron
sequence_ants	2021.69863013699	2021.70410958904	Delta
sequence_anwm	2021.78630136986	2021.79178082192	Alpha
sequence_anxd	2021.89315068493	2021.89863013699	Delta
sequence_aobe	2021.89863013699	2021.90410958904	Omicron
sequence_aobs	2021.30684931507	2021.31232876712	Omicron
sequence_aocf	2021.77534246575	2021.77808219178	Delta
sequence_aock	2021.51506849315	2021.51780821918	Omicron
sequence_aocv	2021.25479452055	2021.2602739726	Alpha
sequence_aocy	2021.83835616438	2021.84109589041	Delta
sequence_aodn	2021.6904109589	2021.69315068493	Alpha
sequence_aogj	2021.86301369863	2021.86575342466	Alpha
sequence_aogu	2021.87671232877	2021.87945205479	Delta
sequence_aohb	2021.99726027397	2022.00273972603	Omicron
sequence_aohd	2021.83835616438	2021.84109589041	Omicron
sequence_aoic	2021.41917808219	2021.42465753425	Delta
sequence_aoju	2021.91780821918	2021.92054794521	Omicron
sequence_aojw	2021.87945205479	2021.88493150685	Alpha
sequence_aolb	2021.08219178082	2021.08493150685	Alpha
sequence_aolf	2021.58356164384	2021.58904109589	Alpha
sequence_aomg	2021.83835616438	2021.84109589041	Alpha
sequence_aomu	2021.7698630137	2021.77260273973	Delta
sequence_aond	2021.39726027397	2021.4	Omicron
sequence_aonv	2021.87123287671	2021.87397260274	Alpha
sequence_aopj	2021.23561643836	2021.24109589041	Alpha
sequence_aoqh	2021.22739726027	2021.2301369863	Alpha
sequence_aoqw	2021.18630136986	2021.18904109589	Alpha
sequence_aorp	2021.89863013699	2021.90410958904	Alpha
sequence_aorq	2021.86849315069	2021.87123287671	Alpha
sequence_aost	2021.82191780822	2021.82739726027	Alpha
sequence_aotr	2021.05479452055	2021.0602739726	Delta
sequence_aowf	2021.98630136986	2021.99178082192	Delta
sequence_aowm	2021.05205479452	2021.05753424658	Delta
sequence_aoyn	2021.15616438356	2021.16164383562	Alpha
sequence_aozi	2021.07397260274	2021.07945205479	Delta
sequence_apcr	2021.53424657534	2021.53698630137	Delta
sequence_apcw	2021.55890410959	2021.56164383562	Omicron
sequence_apet	2021.63835616438	2021.64383561644	Alpha
sequence_apfy	2021.96712328767	2021.97260273973	Delta
sequence_aphe	2021.99726027397	2022	Delta
sequence_aphw	2021.22191780822	2021.22465753425	Omicron
sequence_aphy	2021.91506849315	2021.92054794521	Omicron
sequence_apih	2021.01917808219	2021.02465753425	Delta
sequence_apjo	2021.89315068493	2021.89863013699	Omicron
sequence_apju	2021.39726027397	2021.40273972603	Delta
sequence_apjy	2021.8904109589	2021.89589041096	Delta
sequence_apkl	2021.87945205479	2021.88493150685	Alpha
sequence_apku	2021.38630136986	2021.38904109589	Alpha
sequence_apld	2021.92876712329	2021.93424657534	Alpha
sequence_aplx	2021.9095890411	2021.91506849315	Alpha
sequence_apmr	2021.50410958904	2021.5095890411	Delta
sequence_apng	2021.82739726027	2021.83287671233	Alpha
sequence_apny	2021.54794520548	2021.55068493151	Alpha
sequence_apob	2021.94794520548	2021.95068493151	Delta
sequence_apoj	2021.95616438356	2021.95890410959	Omicron
sequence_apol	2021.9698630137	2021.97534246575	Omicron
sequence_apsh	2021.33698630137	2021.3397260274	Omicron
sequence_aptd	2021.86301369863	2021.86575342466	Omicron
sequence_apts	2021.59178082192	2021.59726027397	Alpha
sequence_apwc	2021.90410958904	2021.9095890411	Delta
sequence_apxk	2021.07945205479	2021.08493150685	Delta
sequence_apzh	2021.87397260274	2021.87945205479	Delta
sequence_aqcv	2021.56712328767	2021.57260273973	Delta
sequence_aqdh	2021.20273972603	2021.20821917808	Delta
sequence_aqdo	2021.14520547945	2021.15068493151	Omicron
sequence_aqeg	2021.30684931507	2021.3095890411	Delta
sequence_aqek	2021.43835616438	2021.44109589041	Alpha
sequence_aqfw	2021.53150684932	2021.53698630137	Omicron
sequence_aqfy	2021.41095890411	2021.41369863014	Omicron
sequence_aqib	2021.79726027397	2021.80273972603	Omicron
sequence_aqji	2021.68493150685	2021.6904109589	Omicron
sequence_aqlt	2021.91780821918	2021.92054794521	Omicron
sequence_aqmu	2021.25205479452	2021.25479452055	Omicron
sequence_aqnb	2021.95890410959	2021.96438356164	Delta
sequence_aqnk	2021.88767123288	2021.8904109589	Delta
sequence_aqno	2021.84657534247	2021.84931506849	Alpha
sequence_aqor	2021.12602739726	2021.13150684931	Delta
sequence_aqru	2021.85479452055	2021.85753424658	Alpha
sequence_aqsl	2021.51780821918	2021.52328767123	Delta
sequence_aqte	2021.09589041096	2021.09863013699	Omicron
sequence_aqtz	2021.83287671233	2021.83835616438	Alpha
sequence_aqud	2021.87945205479	2021.88219178082	Alpha
sequence_aqup	2021.20273972603	2021.20821917808	Alpha
sequence_aqus	2021.6301369863	2021.63287671233	Delta
sequence_aqut	2021.94246575342	2021.94794520548	Delta
sequence_aquz	2021.11780821918	2021.12328767123	Alpha
sequence_aqws	2021.11232876712	2021.11780821918	Delta
sequence_aqxf	2021.98630136986	2021.99178082192	Alpha
sequence_arbe	2021.83835616438	2021.84109589041	Alpha
sequence_arbj	2021.45479452055	2021.4602739726	Omicron
sequence_arck	2021.91232876712	2021.91506849315	Delta
sequence_arcp	2021.98630136986	2021.98904109589	Delta
sequence_arct	2021.39178082192	2021.39726027397	Alpha
sequence_argu	2021.76712328767	2021.77260273973	Omicron
sequence_arih	2021.8	2021.80273972603	Omicron
sequence_arli	2021.81095890411	2021.81369863014	Omicron
sequence_arnq	2021.35616438356	2021.35890410959	Delta
sequence_aroc	2021.72876712329	2021.73150684932	Omicron
sequence_arog	2021.35068493151	2021.35342465753	Omicron
sequence_arol	2021.43287671233	2021.43835616438	Omicron
sequence_arqe	2021.94520547945	2021.94794520548	Omicron
sequence_arqg	2021.91780821918	2021.92328767123	Alpha
sequence_arsy	2021.23561643836	2021.23835616438	Delta
sequence_artj	2021.02191780822	2021.02465753425	Omicron
sequence_artw	2021.90136986301	2021.90684931507	Alpha
sequence_arwv	2021.00273972603	2021.00547945205	Alpha
sequence_asbd	2021.88767123288	2021.8904109589	Delta
sequence_asbt	2021.24109589041	2021.24657534247	Alpha
sequence_asci	2021.78356164384	2021.78904109589	Delta
sequence_aseo	2021.08493150685	2021.0904109589	Alpha
sequence_ashg	2021.67945205479	2021.68493150685	Alpha
sequence_ashu	2021.75616438356	2021.75890410959	Omicron
sequence_ashx	2021.95616438356	2021.96164383562	Omicron
sequence_asid	2021.36712328767	2021.3698630137	Delta
sequence_asjn	2021.62465753425	2021.62739726027	Omicron
sequence_asjv	2021.62465753425	2021.6301369863	Delta
sequence_aski	2021.85205479452	2021.85479452055	Alpha
sequence_askp	2021.87945205479	2021.88493150685	Alpha
sequence_asly	2021.82739726027	2021.8301369863	Alpha
sequence_asmg	2021.85479452055	2021.8602739726	Alpha
sequence_asnx	2021.05479452055	2021.0602739726	Delta
sequence_aspv	2021.84109589041	2021.84383561644	Alpha
sequence_asvi	2021.00547945205	2021.01095890411	Alpha
sequence_aswb	2021.38630136986	2021.39178082192	Alpha
sequence_asyc	2021.88493150685	2021.8904109589	Delta
sequence_atbc	2021.07123287671	2021.07397260274	Alpha
sequence_atcm	2021.23835616438	2021.24383561644	Omicron
sequence_atcz	2021.60821917808	2021.61095890411	Delta
sequence_atdi	2021.38630136986	2021.39178082192	Alpha
sequence_atdu	2021.95616438356	2021.96164383562	Omicron
sequence_atef	2021.81643835616	2021.81917808219	Alpha
sequence_atek	2021.82465753425	2021.82739726027	Omicron
sequence_atfm	2021.8904109589	2021.89315068493	Delta
sequence_atfs	2021.86301369863	2021.86849315069	Omicron
sequence_atgh	2021.97260273973	2021.97534246575	Alpha
sequence_athg	2021.09315068493	2021.09863013699	Delta
sequence_atig	2021.98356164384	2021.98630136986	Omicron
sequence_atkf	2021.40821917808	2021.41095890411	Alpha
sequence_atlf	2021.38082191781	2021.38356164384	Alpha
sequence_atls	2021.37808219178	2021.38356164384	Delta
sequence_atnd	2021.01095890411	2021.01369863014	Alpha
sequence_atng	2021.99452054795	2021.99726027397	Delta
sequence_atnq	2021.25205479452	2021.25753424658	Omicron
sequence_atpd	2021.86301369863	2021.86849315069	Alpha
sequence_atqo	2021.91780821918	2021.92054794521	Alpha
sequence_atsg	2021.85205479452	2021.85479452055	Omicron
sequence_atsx	2021.91780821918	2021.92054794521	Alpha
sequence_atvf	2021.62739726027	2021.6301369863	Alpha
sequence_atvk	2021.81643835616	2021.82191780822	Omicron
sequence_atxw	2021.27671232877	2021.28219178082	Delta
sequence_atyc	2021.90684931507	2021.9095890411	Omicron
sequence_atzj	2021.19178082192	2021.19726027397	Omicron
sequence_atzr	2021.85205479452	2021.85479452055	Omicron
sequence_auco	2021.85205479452	2021.85479452055	Alpha
sequence_audc	2021.27397260274	2021.27945205479	Alpha
sequence_audq	2021.61369863014	2021.61917808219	Delta
sequence_auew	2021.27397260274	2021.27671232877	Delta
sequence_auey	2021.35890410959	2021.36164383562	Delta
sequence_aufk	2021.37260273973	2021.37534246575	Omicron
sequence_aufw	2021.53698630137	2021.54246575342	Delta
sequence_augv	2021.99178082192	2021.99452054795	Delta
sequence_auhd	2021.05479452055	2021.05753424658	Omicron
sequence_aujf	2021.8	2021.80273972603	Delta
sequence_aujk	2021.3095890411	2021.31506849315	Omicron
sequence_aukm	2021.6602739726	2021.66575342466	Alpha
sequence_aulc	2021.81917808219	2021.82191780822	Omicron
sequence_aulf	2021.91506849315	2021.91780821918	Delta
sequence_aulh	2021.58356164384	2021.58904109589	Alpha
sequence_aung	2021.9698630137	2021.97534246575	Alpha
sequence_auqk	2021.63287671233	2021.63835616438	Omicron
sequence_ausj	2021.98082191781	2021.98356164384	Omicron
sequence_ausn	2021.09589041096	2021.10136986301	Omicron
sequence_autd	2021.61917808219	2021.62465753425	Omicron
sequence_auwp	2021.32054794521	2021.32328767123	Delta
sequence_auws	2021.94520547945	2021.94794520548	Delta
sequence_auyk	2021.35890410959	2021.36164383562	Alpha
sequence_auzg	2021.19452054795	2021.2	Omicron
sequence_auzi	2021.0602739726	2021.06575342466	Omicron
sequence_avcm	2021.96164383562	2021.96712328767	Alpha
sequence_avdl	2021.67945205479	2021.68219178082	Delta
sequence_avdq	2021.72328767123	2021.72602739726	Alpha
sequence_avfd	2021.90684931507	2021.9095890411	Delta
sequence_avfg	2021.68767123288	2021.6904109589	Omicron
sequence_avfn	2021.60821917808	2021.61095890411	Alpha
sequence_avfx	2021.92328767123	2021.92602739726	Alpha
sequence_avgp	2021.93150684932	2021.93424657534	Delta
sequence_avhb	2021.91232876712	2021.91506849315	Alpha
sequence_avhd	2021.5397260274	2021.54520547945	Omicron
sequence_avhi	2021.6602739726	2021.66575342466	Omicron
sequence_avjw	2021.93698630137	2021.9397260274	Alpha
sequence_avky	2021.60547945205	2021.61095890411	Alpha
sequence_avlk	2021.01095890411	2021.01369863014	Delta
sequence_avmp	2021.60821917808	2021.61369863014	Delta
sequence_avnf	2021.87671232877	2021.87945205479	Alpha
sequence_avro	2021.94794520548	2021.95068493151	Omicron
sequence_avrp	2021.22739726027	2021.23287671233	Alpha
sequence_avsb	2021.97260273973	2021.97808219178	Alpha
sequence_avsi	2021.64931506849	2021.65479452055	Alpha
sequence_avty	2021.63561643836	2021.64109589041	Delta
sequence_avxi	2021.42739726027	2021.43287671233	Omicron
sequence_avzn	2021.89315068493	2021.89589041096	Alpha
sequence_awbc	2021.0301369863	2021.03561643836	Alpha
sequence_awbh	2021.63561643836	2021.64109589041	Delta
sequence_awbm	2021.8	2021.80547945205	Omicron
sequence_awbv	2021.65205479452	2021.65479452055	Omicron
sequence_awdg	2021.25479452055	2021.2602739726	Omicron
sequence_awdq	2021.64657534247	2021.64931506849	Alpha
sequence_awfi	2021.0301369863	2021.03561643836	Omicron
sequence_awfk	2021.6	2021.60547945205	Alpha
sequence_awfr	2021.40547945205	2021.41095890411	Delta
sequence_awfz	2021.73424657534	2021.73698630137	Omicron
sequence_awgb	2021.64931506849	2021.65479452055	Delta
sequence_awhz	2021.38904109589	2021.39452054795	Alpha
